season,HT,plot,shdi,ReS,GrE,CrO,UcN,PuU,CoM,InS,Wa,prd,REI,RE,RN,RRatio,FDE,FDN,CoverageE,CoverageN,HeightE,HeightN,LeafSE,LeafSN,InDE,InDN,InNE,InNN,FlowerDE,FlowerDN,FruitLE,FruitLN,SeedE,SeedN,shapeReS,shapeGrE,shapeCrO,shapeUcN,shapePuU,shapeCoM,shapeInS,shapeWa,pdReS,pdGrE,pdCrO,pdUcN,pdPuU,pdCoM,pdInS,pdWa,areaReS,areaGrE,areaCrO,areaUcN,areaPuU,areaCoM,areaInS,areaWa,contigReS,contigGrE,contigCrO,contigUcN,contigPuU,contigCoM,contigInS,contigWa,CoverEbox,RRatiobox,HeightEbox,LeafSEbox,InDEbox,InNEbox,FlowerDEbox,FruitLEbox,SeedEbox
spring,R,A1,1.573734524,1.07783429,101.0895679,79.44351486,18.37998722,20.29468983,1.728370058,36.45569159,13.14892708,2.945306583,1,1,5,0.166666667,0,0.11445859,3,118,0.8,0.361538462,6.666666667,21.1025641,20,13.45,100,28.6,3,4.583333333,6.9,4.808333333,0.047875,12.84032,1.783085596,1.951476508,1.84119569,1.634103743,1.787880191,1.588574924,1.646793575,1.802826045,0.736326646,7.731429779,2.208979937,3.681633228,0.736326646,0.368163323,2.945306583,3.681633228,92.33452094,123.7727581,107.8448695,74.4279338,140.659942,NA,121.709301,138.2006469,3.921402283,3.569044132,1.923037902,1.925312176,9.344250829,NA,3.261068257,1.847824682,1.104669194,-2.282230251,-0.223392702,2.636993602,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,R,A6,1.624836375,0.890778121,99.49796233,67.24144657,20.3540268,27.60724735,1.728370058,40.37084595,13.56790395,2.949215456,1,1,7,0.125,0,0.151229117,15,69,0.75,0.568387097,10.66666667,8.793548387,20,8.887096774,45,66.09677419,6.5,9.193548387,9,10.9483871,0.03,0.155341935,1.698152559,1.972366764,1.852390602,1.625282438,1.645908379,1.588574924,1.640974544,1.756279057,0.368651932,7.741690572,2.580563524,3.68651932,1.105955796,0.368651932,2.949215456,4.055171252,0,125.7198398,131.2364837,79.40995016,172.1361232,NA,115.2854761,148.3546096,NA,3.540602438,1.71912301,1.987790838,9.776187801,NA,3.338851856,1.909692169,2.745051127,-2.758195665,-0.288096274,3.587830706,2.823203625,4.449895074,1.589095448,2.792002213,-5.611245657
spring,R,A10,1.630135982,0.890778121,97.47688736,66.69004695,19.81167245,27.52909622,1.728370058,43.82541521,13.4485064,2.94767031,0,2,3,0.4,0.133167312,0.06605173,16,80,0.45,0.886666667,20.5,21.22745098,3,12,4,67.88235294,10,3.985294118,11,3.764705882,0.28,3.3925,1.698152559,1.978300394,1.866778084,1.626282917,2.030395557,1.588574924,1.637820951,1.757585306,0.368458789,7.737634564,2.579211521,3.684587888,0.368458789,0.368458789,2.94767031,4.053046676,0,126.4858821,134.0565038,77.06718555,NA,NA,115.6563187,147.0645082,NA,3.515541247,1.730404717,1.974505208,NA,NA,3.364326499,1.914899811,2.811382666,-1.034646629,-0.801704272,5.18010677,1.07482305,1.466089226,1.8850364,3.117132768,-1.498832407
spring,R,A13,1.483758014,4.977068981,102.9528934,98.26382579,15.22933902,7.365381888,1.728370058,30.05815352,12.615618,2.9283579,1,1,5,0.166666667,0,0.160490536,60,32,0.8,0.633125,6.666666668,89.8125,20,11.5,100,43.14285714,3,9.5,6.9,14.57142857,0.047875,0.685028571,1.695376022,1.901990606,1.750326247,1.588327751,1.93709043,1.588574924,1.685855521,1.872186872,0.732089475,8.052984225,2.196268425,4.026492112,0.732089475,0.366044737,2.562313162,3.294402637,91.29264636,129.514997,101.294681,105.8498438,123.122793,NA,114.1178124,133.480108,1.591270334,3.514800137,2.000155438,5.14873695,2.439089151,NA,3.456866342,2.023627819,4.179318591,-2.282230251,-0.223392702,2.636993602,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,FR,A18,1.706117849,0.890778121,88.08391791,38.45361067,29.14096321,55.31941981,1.728370058,47.25393408,14.20071099,2.908332576,0,1,9,0.1,0,0.177561367,3,119,0.208,0.869230769,14.66666667,18.6,3.25,12.07142857,40,97.21428571,9.5,5.427586207,10,4.920689655,0.569,1.111990345,1.698152559,1.659857769,1.772057676,1.541638497,1.622694396,1.588574924,1.578159435,1.824576992,0.363541572,11.6333303,1.454166288,3.998957292,1.454166288,0.363541572,3.63541572,3.63541572,0,210.6515113,167.635517,79.47719078,197.8983995,NA,132.9001388,151.8684775,NA,47.29268095,2.181446794,1.520024571,67.64572562,NA,3.246246909,1.982768456,1.104669194,-3.15269561,-1.582609889,4.32118796,1.151301991,4.290932367,1.850990328,2.961000464,-0.605554487
spring,FR,A20,1.714071101,0.890778121,86.57950871,36.78349215,35.89633213,57.55106866,1.728370058,43.08876847,13.89281003,2.894239479,0,1,10,0.090909091,0,0.16353993,2,82,0.15,0.495294118,0.28,8.701282051,6,8.480769231,14,37.76923077,3.5,3.426923077,18,4.65,0.1183,2.091885217,1.698152559,1.932088979,1.940215351,1.504143801,1.864868217,1.588574924,1.577970906,1.884215532,0.361779935,7.597378632,1.447119739,3.979579283,0.72355987,0.361779935,3.617799348,3.256019414,0,175.220449,178.4778815,112.2361102,137.3404578,NA,134.8438633,140.9486813,NA,4.966468747,52.2821659,1.598087414,2.969045337,NA,2.948380674,1.586739846,0.695555006,-3.328298414,-1.915229645,-1.039408697,1.729058272,2.938327724,1.121560067,3.975610178,-2.820462182
spring,W,A21,1.713930968,0.890778121,86.65693622,36.72777329,36.18143902,57.64875757,1.728370058,42.75228446,13.88738287,2.893584227,1,1,8,0.111111111,0,0.143696414,2,157,0.8,0.554545455,6.666666667,14.07045455,20,14.29545455,100,26.31818182,3,9.045454545,6.9,31.82727273,0.047875,4.373968182,1.698152559,1.934558184,2.298201561,1.50339518,1.859608703,1.588574924,1.579084006,1.885490672,0.361698028,7.595658596,1.085094085,3.978678312,0.723396057,0.361698028,3.616980284,3.255282255,0,175.6316226,152.4534798,114.1325454,137.1805085,NA,134.9844728,140.904032,NA,4.984624532,7.548171428,1.601663649,2.866227955,NA,2.945617307,1.58689502,0.695555006,-2.963573202,-0.223392702,2.636993602,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,FR,A23,1.716761565,0.890778121,85.56860942,36.57726001,41.71533478,58.83441147,1.728370058,38.60701844,13.80489001,2.880529959,1,4,15,0.210526316,0.130615264,0.163263243,13,198,0.59125,0.362690476,5.0525,14.76448718,14.125,15.22727273,85.5,71.37179487,3.875,5.136538462,6.1875,18.4,0.142846875,4.040904615,1.698152559,1.911078638,1.855179047,1.46605563,1.825320191,1.588574924,1.559296907,1.889581601,0.360066245,7.561391143,1.080198735,3.960728694,0.72013249,0.360066245,3.600662449,3.240596204,0,185.1379008,153.4803533,146.8914984,136.7493751,NA,136.0704034,140.0829482,NA,23.88127221,7.620885075,1.68080705,2.582485085,NA,8.845802115,1.588793974,2.598127241,-1.921072419,-0.526899598,2.141513935,2.512536553,5.342976446,1.202055166,2.22040159,-2.506423162
spring,FR,A25,1.668373597,4.627197965,52.55192922,14.42177738,41.86512444,58.58584746,2.57247459,92.61234153,8.035817249,2.906211014,1,3,10,0.230769231,0.181046376,0.196951239,13,187,0.433333333,0.52875,3.31,24.37564103,4.833333333,12.04864865,22.66666667,115.1351351,3.825,7.285897436,10.5,7.276923077,1.01,46.36245641,1.471650195,1.711656309,1.491557906,1.491112525,1.556721439,1.683682257,1.510419699,2.912401637,1.816381884,9.08190942,1.816381884,3.632763768,1.816381884,0.363276377,3.269487391,1.453105507,116.085656,100.035062,110.4389888,212.9154063,164.3369054,NA,170.7010426,174.2621082,2.469750663,4.56527357,3.230288576,4.856312215,1.976111153,NA,1.125062146,1.861654816,2.598127241,-1.785038959,-0.839754346,1.467798956,1.526916765,3.545048184,1.191866104,3.040535605,0.009937965
spring,R,A27,1.604082739,15.6114112,75.86918624,27.06851111,21.10261328,14.20288186,2.57247459,117.7003005,9.9620978,2.8160142,1,2,4,0.333333333,0.154384391,0.14260914,6,46,0.55,0.584375,7.204444443,40.109375,15.33333333,5.633333333,34.66666667,25.53333333,5.5,7.716666667,12,7.08,0.059433333,0.134693333,1.559848908,1.929997206,1.548902702,1.538060632,1.544221353,1.683682257,1.601908841,2.976050239,1.760008875,8.096040825,5.6320284,2.464012425,2.11201065,0.352001775,2.8160142,1.760008875,134.4425858,128.1423661,125.5450503,113.3615743,125.2327313,NA,235.1692123,124.924341,1.596920032,1.993809146,2.956272135,2.931741912,1.690982085,NA,1.79193593,3.573901624,1.807907781,-1.271585683,-0.599627613,2.783953964,2.586248863,4.099804748,1.468013719,3.262424984,-4.101258121
