season,HT,plot,shdi,ReS,GrE,CrO,UcN,PuU,CoM,InS,Wa,prd,REI,RE,RN,RRatio,FDE,FDN,CoverageE,CoverageN,HeightE,HeightN,LeafSE,LeafSN,InDE,InDN,InNE,InNN,FlowerDE,FlowerDN,FruitLE,FruitLN,SeedE,SeedN,shapeReS,shapeGrE,shapeCrO,shapeUcN,shapePuU,shapeCoM,shapeInS,shapeWa,pdReS,pdGrE,pdCrO,pdUcN,pdPuU,pdCoM,pdInS,pdWa,areaReS,areaGrE,areaCrO,areaUcN,areaPuU,areaCoM,areaInS,areaWa,contigReS,contigGrE,contigCrO,contigUcN,contigPuU,contigCoM,contigInS,contigWa,CoverNbox,RNbox,HeightNbox,LeafSNbox,InDNbox,InNNbox,FlowerDNbox,FruitLNbox,SeedNbox
spring,R,A1,1.573734524,1.07783429,101.0895679,79.44351486,18.37998722,20.29468983,1.728370058,36.45569159,13.14892708,2.945306583,1,1,5,0.166666667,0,0.11445859,3,118,0.8,0.361538462,6.666666667,21.1025641,20,13.45,100,28.6,3,4.583333333,6.9,4.808333333,0.047875,12.84032,1.783085596,1.951476508,1.84119569,1.634103743,1.787880191,1.588574924,1.646793575,1.802826045,0.736326646,7.731429779,2.208979937,3.681633228,0.736326646,0.368163323,2.945306583,3.681633228,92.33452094,123.7727581,107.8448695,74.4279338,140.659942,NA,121.709301,138.2006469,3.921402283,3.569044132,1.923037902,1.925312176,9.344250829,NA,3.261068257,1.847824682,18.48798506,2.180452588,-0.948252479,2.55372343,3.222739248,3.087348731,1.644427583,1.442204067,2.198685278
spring,R,A3,1.523850744,2.903893257,102.0161653,91.25193303,16.41571654,12.56677355,1.728370058,32.71927174,12.74840256,2.937391059,0,0,12,0,0,0.153049136,0,402,0,0.783571429,0,28.50686274,0,10.69047619,0,113.7142857,0,6.080357143,0,3.732142857,0,3.142933333,1.724267394,1.924299706,1.776607323,1.653949185,1.833211414,1.588574924,1.658419476,1.890877911,0.734347765,8.444999294,2.203043294,3.671738823,0.734347765,0.367173882,2.937391059,3.671738823,54.65849079,132.6906611,102.9318323,84.05407478,141.3562095,NA,126.3035231,142.4649426,1.026096813,9.1020638,1.975849112,1.839804259,51.70739512,NA,5.850858479,10.50435285,34.96658612,4.017430111,-0.239776177,2.758590691,2.881025286,4.215194159,1.978237198,1.22603261,1.069957216
spring,R,A4,1.543331609,2.030843864,101.6196207,87.00499818,17.05973972,15.37261609,1.728370058,34.2562439,12.9984138,2.940410598,0,0,6,0,0,0.148662236,0,97,0,0.966363636,0,32.36805555,0,14.72727273,0,135.4545455,0,3.886363636,0,2.5,0,1.699983333,1.740415978,1.874033545,1.797011105,1.640405711,1.842461618,1.588574924,1.647487766,1.810068617,0.73510265,8.45368047,2.205307949,3.675513248,0.73510265,0.367551325,2.940410598,3.675513248,17.35957856,131.6288348,104.4030451,78.87639668,141.1683902,NA,125.1478774,139.0522513,0.346860324,3.880545919,1.958390128,1.854645209,22.28526653,NA,3.343727736,1.875247059,16.64112206,2.51680752,-0.034133264,2.842923538,3.361243718,4.352667311,1.45392522,0.871626471,0.514078012
spring,R,A5,1.636825273,0.890778121,98.68822983,64.10346174,20.73935527,29.63990026,1.728370058,42.05941683,13.59069803,2.947242045,0,0,9,0,0,0.15558668,0,150,0,0.340229885,0,14.19141914,0,13.26732673,0,67.23762376,0,2.831683168,0,3.779207921,0,4.882795294,1.698152559,1.974205932,1.871612763,1.623790295,1.690572316,1.588574924,1.63953451,1.754263907,0.368405256,7.736510368,2.578836789,3.684052556,1.105215767,0.368405256,2.947242045,4.052457812,0,126.7063316,136.4344838,81.37247478,172.5010996,NA,113.5939064,148.5083468,NA,3.53194959,1.751148623,1.995957412,11.92073979,NA,3.35916024,1.902222559,20.99915193,3.348896652,-1.000711525,2.271895509,3.202035961,3.794987222,1.096971379,1.236866928,1.443978843
spring,R,A6,1.624836375,0.890778121,99.49796233,67.24144657,20.3540268,27.60724735,1.728370058,40.37084595,13.56790395,2.949215456,1,1,7,0.125,0,0.151229117,15,69,0.75,0.568387097,10.66666667,8.793548387,20,8.887096774,45,66.09677419,6.5,9.193548387,9,10.9483871,0.03,0.155341935,1.698152559,1.972366764,1.852390602,1.625282438,1.645908379,1.588574924,1.640974544,1.756279057,0.368651932,7.741690572,2.580563524,3.68651932,1.105955796,0.368651932,2.949215456,4.055171252,0,125.7198398,131.2364837,79.40995016,172.1361232,NA,115.2854761,148.3546096,NA,3.540602438,1.71912301,1.987790838,9.776187801,NA,3.338851856,1.909692169,13.81700356,2.818932088,-0.543188153,1.913569452,2.615058439,3.781115449,2.483843529,2.10410125,-2.086580046
spring,R,A7,1.625422928,0.890778121,99.30149908,67.18572771,20.30554415,27.59530759,1.728370058,40.71130989,13.55704963,2.949030582,0,0,3,0,0,0.101034432,0,66,0,0.944444444,0,26.25,0,11.5,0,71.25,0,4.194444444,0,4.888888889,0,0.314444444,1.698152559,1.973476474,1.853067042,1.625369505,1.657623299,1.588574924,1.63989913,1.756279057,0.368628823,7.741205278,2.580401759,3.686288228,1.105886468,0.368628823,2.949030582,4.05491705,0,125.7422774,131.5132533,79.17893253,172.380911,NA,115.3193766,148.2300942,NA,3.537771352,1.719923564,1.986571648,12.49990266,NA,3.341995606,1.908238097,13.48133432,1.34757555,-0.056930327,2.703140923,2.988291717,3.841882862,1.541637893,1.456170064,-1.241108893
spring,R,A9,1.634791879,0.890778121,97.3137107,65.45048324,20.06674904,28.37935153,1.728370058,44.13186893,13.47817488,2.947249902,0,0,5,0,0,0.178842956,0,80,0,0.845714286,0,96.95238095,0,11.25,0,110,0,3.166666667,0,3.125,0,0.3696,1.698152559,1.979212802,1.871082682,1.62648227,2.039904853,1.588574924,1.636856431,1.753368119,0.368406238,7.736530992,2.578843664,3.684062377,0.368406238,0.368406238,2.947249902,4.052468615,0,126.781628,135.7510417,78.10005004,NA,NA,114.9057882,147.2504599,NA,3.513339646,1.7433855,1.979930138,NA,NA,3.369679144,1.902273053,14.98699822,2.180452588,-0.165623316,3.5201574,2.955861165,4.188962766,1.22174085,1.070919355,-1.057214267
spring,R,A10,1.630135982,0.890778121,97.47688736,66.69004695,19.81167245,27.52909622,1.728370058,43.82541521,13.4485064,2.94767031,0,2,3,0.4,0.133167312,0.06605173,16,80,0.45,0.886666667,20.5,21.22745098,3,12,4,67.88235294,10,3.985294118,11,3.764705882,0.28,3.3925,1.698152559,1.978300394,1.866778084,1.626282917,2.030395557,1.588574924,1.637820951,1.757585306,0.368458789,7.737634564,2.579211521,3.684587888,0.368458789,0.368458789,2.94767031,4.053046676,0,126.4858821,134.0565038,77.06718555,NA,NA,115.6563187,147.0645082,NA,3.515541247,1.730404717,1.974505208,NA,NA,3.364326499,1.914899811,14.98699822,1.34757555,-0.119279014,2.557814394,3.051414894,3.802717708,1.482753391,1.233544614,1.136252653
spring,FR,A11,1.584977851,0.983039868,99.31343884,77.49624928,18.0836642,21.12178925,1.728370058,39.97321591,13.08524838,2.943502966,0,1,4,0.2,0,0.245116615,56,145,0.2,0.985714286,14,252.0535714,NA,17.875,NA,191.25,NA,6.21875,7,2.1875,0.33,0.110575,1.824044875,1.952968884,1.871199846,1.635246105,2.078383272,1.588574924,1.642904419,1.799066011,0.735875741,7.726695285,2.207627224,3.679378707,0.367937871,0.367937871,2.943502966,3.679378707,114.8755735,125.2275301,110.6203716,74.75357775,NA,NA,121.5267309,137.4773964,7.404932554,3.539804459,1.908151965,1.910410126,NA,NA,3.299415293,1.847746003,20.62657617,1.797727874,-0.014374254,4.041531991,3.663782473,4.620227071,2.005225162,0.750006908,-2.52041932
spring,R,A12,1.561682636,1.374880934,101.2643225,82.54242412,17.78625575,18.28302194,1.728370058,35.74798972,13.12142946,2.94281347,0,0,7,0,0,0.228358639,0,145,0,0.867142857,0,156.2619048,0,14,0,126.8,0,4.986666667,0,5.033333333,0,11.17650769,1.76798796,1.899879321,1.82175524,1.636789788,1.854446796,1.588574924,1.646071069,1.802425665,0.735703368,8.092737043,2.207110103,3.678516838,0.735703368,0.367851684,2.94281347,3.678516838,41.83094853,128.5266487,106.3403531,75.45106889,140.9455858,NA,123.2492761,137.8960721,1.193129711,22.63169769,1.937997352,1.896594963,13.78150917,NA,3.250142755,1.84794957,20.62657617,2.818932088,-0.141138494,3.788097935,3.283678516,4.30092613,1.743053349,1.480584356,2.095668727
spring,R,A13,1.483758014,4.977068981,102.9528934,98.26382579,15.22933902,7.365381888,1.728370058,30.05815352,12.615618,2.9283579,1,1,5,0.166666667,0,0.160490536,60,32,0.8,0.633125,6.666666668,89.8125,20,11.5,100,43.14285714,3,9.5,6.9,14.57142857,0.047875,0.685028571,1.695376022,1.901990606,1.750326247,1.588327751,1.93709043,1.588574924,1.685855521,1.872186872,0.732089475,8.052984225,2.196268425,4.026492112,0.732089475,0.366044737,2.562313162,3.294402637,91.29264636,129.514997,101.294681,105.8498438,123.122793,NA,114.1178124,133.480108,1.591270334,3.514800137,2.000155438,5.14873695,2.439089151,NA,3.456866342,2.023627819,8.912565923,2.180452588,-0.442769416,3.475771476,2.988291717,3.431448176,2.524845015,2.320388233,-0.387012562
spring,W,A14,1.656516747,0.890778121,97.66539077,57.41068608,21.46189138,34.81922147,1.728370058,44.37138766,13.66197476,2.941071584,0,0,7,0,0,0.163796195,0,94,0,0.54175,0,10.3931746,0,10.8675,0,37.95,0,8.416666667,0,7.764285714,0,0.348923529,1.698152559,1.947006199,1.934205161,1.622033823,1.657908114,1.588574924,1.63593066,1.747897692,0.367633948,8.087946855,2.573437636,3.67633948,1.102901844,0.367633948,2.941071584,4.043973428,0,134.4238397,149.3937462,85.53316556,172.2790862,NA,109.7968411,149.3071319,NA,4.32404978,2.466034386,2.008984988,7.92589564,NA,3.387889319,1.902256871,16.36087981,2.818932088,-0.587387462,2.041039901,2.905050857,3.324863155,2.374111151,1.834927889,-1.122310891
spring,FR,A15,1.661340478,0.890778121,97.3003237,55.2282435,21.54148975,36.73935123,1.728370058,45.10513991,13.6702964,2.93897232,0,0,5,0,0,0.143913876,0,128,0,0.927368421,0,23.03947368,0,9.470588235,0,60.58823529,0,4.223684211,0,7.223684211,0,0.429444444,1.698152559,1.938804836,1.953713274,1.623438806,1.652371376,1.588574924,1.632496304,1.747822934,0.36737154,8.082173881,2.57160078,3.673715401,1.10211462,0.36737154,2.93897232,4.041086941,0,135.8423941,154.6501671,86.02085361,172.2149106,NA,108.6929641,149.4074308,NA,6.60469809,3.34939561,2.008532016,7.459700099,NA,3.396270881,1.902258607,19.30709829,2.180452588,-0.075007748,2.614307642,2.705716353,3.710393984,1.549658521,1.777096091,-0.889617965
spring,R,A16,1.669834253,0.890778121,94.20322349,54.1970828,21.48757995,37.1478356,1.728370058,49.14837528,13.58092914,2.937028194,0,0,8,0,0,0.21630044,0,313,0,0.5748,0,214.7402597,0,11.48717949,0,90.43589744,0,3.807692308,0,7.082051282,0,9.600045161,1.698152559,1.981319621,1.756703264,1.622217058,1.935741489,1.588574924,1.632550879,1.745252111,0.367128524,7.70969901,2.937028194,3.671285243,0.367128524,0.367128524,2.937028194,4.038413767,0,132.0238652,172.3697731,85.69002857,NA,NA,109.0657281,148.4200034,NA,3.767547562,4.030607351,2.008951179,NA,NA,3.415327439,1.902235535,30.77307178,3.09454467,-0.532813748,3.958221717,2.986643089,4.033381335,1.430525179,1.761148031,1.980814507
spring,R,A17,1.666779725,0.890778121,96.73517528,52.34678251,21.5465551,39.54772645,1.728370058,46.05018964,13.69634678,2.935328218,0,0,5,0,0,0.123228287,0,50,0,0.85952381,0,74.16269841,0,11.97222222,0,73.44444444,0,3.881578947,0,4.168421053,0,0.200336842,1.698152559,1.947102159,1.772970867,1.624296367,1.666446531,1.588574924,1.628346175,1.747911653,0.366916027,7.705236573,2.935328218,3.669160273,1.100748082,0.366916027,2.935328218,4.0360763,0,133.3381362,176.6679064,86.05204915,172.1664312,NA,107.4558612,149.6891171,NA,3.747517489,6.783589518,2.007690102,7.608301369,NA,3.405922777,1.902270215,11.53940343,2.180452588,-0.149783979,3.362874386,3.047966571,3.86637166,1.452514291,1.321098338,-1.773321998
spring,FR,A18,1.706117849,0.890778121,88.08391791,38.45361067,29.14096321,55.31941981,1.728370058,47.25393408,14.20071099,2.908332576,0,1,9,0.1,0,0.177561367,3,119,0.208,0.869230769,14.66666667,18.6,3.25,12.07142857,40,97.21428571,9.5,5.427586207,10,4.920689655,0.569,1.111990345,1.698152559,1.659857769,1.772057676,1.541638497,1.622694396,1.588574924,1.578159435,1.824576992,0.363541572,11.6333303,1.454166288,3.998957292,1.454166288,0.363541572,3.63541572,3.63541572,0,210.6515113,167.635517,79.47719078,197.8983995,NA,132.9001388,151.8684775,NA,47.29268095,2.181446794,1.520024571,67.64572562,NA,3.246246909,1.982768456,18.57148141,3.348896652,-0.138780705,2.465507691,3.060251318,4.090977678,1.842971196,1.46161322,0.105478286
spring,FR,A19,1.71009167,0.890778121,87.35269833,37.85228117,31.3878081,56.03471971,1.728370058,46.16126555,14.09723311,2.903756928,0,0,11,0,0,0.168387298,0,211,0,0.606535714,0,24.06989796,0,10.8258427,0,67.7752809,0,2.988764045,0,3.631460674,0,2.614363373,1.698152559,1.852436618,1.804113596,1.517106088,1.965007604,1.588574924,1.57721162,1.822786549,0.362969616,7.985331551,1.451878464,3.992665776,0.725939232,0.362969616,3.62969616,3.62969616,0,173.6629328,171.4402491,86.49044611,138.6508772,NA,133.5263624,151.5698556,NA,9.530906222,4.796198331,1.553524231,4.18631402,NA,3.058843343,2.169432596,25.10698807,3.807875556,-0.482893517,2.644255912,2.899426893,3.801439236,1.157044442,1.20233758,0.907677101
spring,FR,A20,1.714071101,0.890778121,86.57950871,36.78349215,35.89633213,57.55106866,1.728370058,43.08876847,13.89281003,2.894239479,0,1,10,0.090909091,0,0.16353993,2,82,0.15,0.495294118,0.28,8.701282051,6,8.480769231,14,37.76923077,3.5,3.426923077,18,4.65,0.1183,2.091885217,1.698152559,1.932088979,1.940215351,1.504143801,1.864868217,1.588574924,1.577970906,1.884215532,0.361779935,7.597378632,1.447119739,3.979579283,0.72355987,0.361779935,3.617799348,3.256019414,0,175.220449,178.4778815,112.2361102,137.3404578,NA,134.8438633,140.9486813,NA,4.966468747,52.2821659,1.598087414,2.969045337,NA,2.948380674,1.586739846,15.19052732,3.58574348,-0.669153589,1.905438475,2.548925826,3.320881713,1.310724796,1.413980693,0.706325159
spring,W,A21,1.713930968,0.890778121,86.65693622,36.72777329,36.18143902,57.64875757,1.728370058,42.75228446,13.88738287,2.893584227,1,1,8,0.111111111,0,0.143696414,2,157,0.8,0.554545455,6.666666667,14.07045455,20,14.29545455,100,26.31818182,3,9.045454545,6.9,31.82727273,0.047875,4.373968182,1.698152559,1.934558184,2.298201561,1.50339518,1.859608703,1.588574924,1.579084006,1.885490672,0.361698028,7.595658596,1.085094085,3.978678312,0.723396057,0.361698028,3.616980284,3.255282255,0,175.6316226,152.4534798,114.1325454,137.1805085,NA,134.9844728,140.904032,NA,4.984624532,7.548171428,1.601663649,2.866227955,NA,2.945617307,1.58689502,21.5100702,3.09454467,-0.565927964,2.265665769,3.315588462,3.016890822,2.463586713,2.877937354,1.352396962
spring,R,A22,1.715078891,0.890778121,86.38268365,36.53203366,39.63130473,58.53157585,1.728370058,39.98587929,13.83419668,2.882708133,1,1,5,0.166666667,0,0.118742831,2,106,0.9,0.423333333,4.333333333,13.81833333,NA,16.5,NA,49.6,2.5,7.35,20,37.57,1.998,3.41423,1.698152559,1.852618255,2.044852859,1.470157054,1.807830218,1.588574924,1.581815073,1.888475036,0.360338517,8.648124399,0.720677033,3.963723683,0.720677033,0.360338517,3.603385166,3.24304665,0,197.2244932,119.8208793,134.200853,136.4734358,NA,136.0045476,140.3751387,NA,31.45390819,2.260767713,1.610381247,2.44230901,NA,3.235004458,1.588142172,17.45581266,2.180452588,-0.809885994,2.252486363,3.537627859,3.546590308,2.207556245,2.990277724,1.14176484
spring,FR,A23,1.716761565,0.890778121,85.56860942,36.57726001,41.71533478,58.83441147,1.728370058,38.60701844,13.80489001,2.880529959,1,4,15,0.210526316,0.130615264,0.163263243,13,198,0.59125,0.362690476,5.0525,14.76448718,14.125,15.22727273,85.5,71.37179487,3.875,5.136538462,6.1875,18.4,0.142846875,4.040904615,1.698152559,1.911078638,1.855179047,1.46605563,1.825320191,1.588574924,1.559296907,1.889581601,0.360066245,7.561391143,1.080198735,3.960728694,0.72013249,0.360066245,3.600662449,3.240596204,0,185.1379008,153.4803533,146.8914984,136.7493751,NA,136.0704034,140.0829482,NA,23.88127221,7.620885075,1.68080705,2.582485085,NA,8.845802115,1.588793974,24.28957674,4.585824993,-0.94549285,2.300621928,3.412723616,3.843262659,1.777878082,2.491920852,1.285732114
